"Domain","CustomDomains","EndpointName","RouteName","Pattern","OriginGroup","AppServiceURLs"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","specsavers-downloadwink-com","download-wink","WinkRESTv6001203-ss","/WinkRESTv6.00.12.03/*","6001203-rest-ss","wink-prod-app-winkrest-6001203-ss-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","tokai-orderoptical-com, loblaw-azure-downloadwink-com, visionstyle-orderoptical-com, aos-orderoptical-com, centennial-orderoptical-com, essilor-orderoptical-com, essilorlabtolab-orderoptical-com, fyidoctors-orderoptical-com, kering-orderoptical-com, quantum-orderoptical-com, rxclub-orderoptical-com, sdl-orderoptical-com, testing-rxclub-orderoptical-com, visionrxlab-test-orderoptical-com, visionrxlab-orderoptical-com, visualeyes-orderoptical-com, westgroupe-orderoptical-com, zeiss-orderoptical-com, calvin-orderoptical-com, baileynelson-downloadwink-com","download-wink","winkwebaws","/","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","tokai-orderoptical-com, loblaw-azure-downloadwink-com, visionstyle-orderoptical-com, aos-orderoptical-com, centennial-orderoptical-com, essilor-orderoptical-com, essilorlabtolab-orderoptical-com, fyidoctors-orderoptical-com, kering-orderoptical-com, quantum-orderoptical-com, rxclub-orderoptical-com, sdl-orderoptical-com, testing-rxclub-orderoptical-com, visionrxlab-test-orderoptical-com, visionrxlab-orderoptical-com, visualeyes-orderoptical-com, westgroupe-orderoptical-com, zeiss-orderoptical-com, calvin-orderoptical-com, baileynelson-downloadwink-com","download-wink","winkwebaws2","/Web, /Web/*","winkwebfromaws","wink-prod-winkweb-fromaws.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","ecomm-for-oms-downloadwink-com, oms-azure-downloadwink-com","download-wink","wink-ecommV5forOMS","/wink-ecommV5/*","wink-ecommV5-for-oms","wink-prod-ecommv5-oms-specific.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001205","/WinkHolderRESTv6.00.12.05/*","6001205-hold","wink-prod-app-winkhold-6001205-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001205","/WinkRESTv6.00.12.05/*","6001205-rest","wink-prod-app-winkrest-6001205-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkHolderRESTv6001205-loblaw","/WinkHolderRESTv6.00.12.05/*","6001205-hold-loblaw","wink-prod-app-winkhold-6001205-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkRESTv6001205-loblaw","/WinkRESTv6.00.12.05/*","6001205-rest-loblaw","wink-prod-app-winkrest-6001205-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","oms-downloadwink-com, oms-azure-downloadwink-com","download-wink","wink-b2b-oms-routing","/winkb2b, /winkb2b/*","wink-b2b-oms","wink-prod-app-winkb2b.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","oms-downloadwink-com, oms-azure-downloadwink-com","download-wink","wink-b2b-oms-routing2","/","WINKweb","wnkweb-winkweb.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkHolderRESTv6001205a-loblaw","/WinkHolderRESTv6.00.12.05a/*","6001205a-hold-loblaw","wink-prod-app-winkhold-6001205a-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkRESTv6001205a-loblaw","/WinkRESTv6.00.12.05a/*","6001205a-rest-loblaw","wink-prod-app-winkrest-6001205a-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkHolderRESTv6001205b-loblaw","/WinkHolderRESTv6.00.12.05b/*","6001205b-hold-loblaw","wink-prod-app-winkhold-6001205b-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkRESTv6001205b-loblaw","/WinkRESTv6.00.12.05b/*","6001205b-rest-loblaw","wink-prod-app-winkrest-6001205b-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001205a","/WinkHolderRESTv6.00.12.05a/*","6001205a-hold","wink-hold-5a-new-fhbqhffae6cchufm.canadacentral-01.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkRESTv6001205a","/WinkRESTv6.00.12.05a/*","6001205a-rest","wink-prod-app-winkrest-6001205a-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkHolderRESTv6001205c-loblaw","/WinkHolderRESTv6.00.12.05c/*","6001205c-hold-loblaw","wink-prod-app-winkhold-6001205c-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","loblaw-azure-downloadwink-com","download-wink","WinkRESTv6001205c-loblaw","/WinkRESTv6.00.12.05c/*","6001205c-rest-loblaw","wink-prod-app-winkrest-6001205c-loblaw-can-central.azurewebsites.net"
"download-wink-frfphsdrdubfgkg4.z01.azurefd.net","azurefd-downloadwink-com, download-wink-azurefd-net","download-wink","WinkHolderRESTv6001206","/WinkHolderRESTv6.00.12.06/*","6001206-hold","wink-prod-app-winkhold-6001206-can-central.azurewebsites.net"
